Entidad,Abril_2016,Junio_2016,Agosto_2016,Octubre_2016,Diciembre_2016,Febrero_2017,Abril_2017,Junio_2017,Agosto_2017,Octubre_2017,Diciembre_2017,Febrero_2018,Abril_2018,Junio_2018,Agosto_2018,Octubre_2018
AFIRME,0.442,0.4439,0.4454,0.4515,0.52825,0.53495,0.5551,0.6015,0.6385,0.6035,0.6125,0.6555,0.6985,0.68815,0.67375,0.6177
FAMSA,0.6572,0.6598,0.682,0.7042,0.7152,0.7146,0.7175,0.732,0.741,0.772,0.792,0.83,0.8566,0.872,0.8976,0.9244
BANBAJIO,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.459,0.4585,0.4585,0.4615,0.468,0.4748,0.5104,0.56955,0.63035
INVEX,0.6304,0.6414,0.6066,0.5718,0.5573,0.5718,0.59325,0.603,0.5385,0.575,0.5145,0.549,0.56525,0.56225,0.5544,0.5851
BANORTE,0.50355,0.5213,0.545825,0.57035,0.5357,0.563666667,0.5759,0.593666667,0.617,0.661,0.687666667,0.544,0.5997,0.6237,0.6356,0.640866667
BANREGIO,0.3694,0.3694,0.37295,0.3765,0.3785,0.37815,0.38175,0.407,0.409,0.4115,0.4165,0.407,0.4099,0.35755,0.4243,0.417
BANCOPPEL,0.8643,0.8611,0.86105,0.861,0.8611,0.8612,0.8612,0.8612,0.8612,0.8612,0.8612,0.861,0.8612,0.8612,0.8615,0.8619
BBVABANCOMER,0.74514,0.79184,0.80563,0.81942,0.82692,0.83536,0.84202,0.85308,0.86,0.8636,0.8632,0.8845,0.88575,0.899283333,0.91155,0.92518
CONSUBANCO,1.096133333,1.094966667,1.268333333,1.4417,1.107466667,1.112666667,1.50985,1.522,1.185666667,1.183,1.178333333,1.172333333,1.51685,1.163,1.166233333,1.5119
HSBC,0.756,0.7622,0.832,0.77,0.7647,0.77505,0.78155,0.78745,0.794,0.8025,0.8155,0.8405,0.88165,0.904,0.93015,0.9531
SANTANDER,0.0041,0.0041,0.007255556,0.010411111,0.013566667,0.013366667,0.134275,0.255183333,0.376091667,0.497,0.590857143,0.537833333,0.7354,0.732142857,0.734242857,0.739871429
SCOTIABANK,0.470325,0.462075,0.451275,0.4123,0.401725,0.39155,0.3882,0.379,0.393,0.431,0.454,0.47575,0.50295,0.52625,0.550075,0.556825
INBURSA,0.58735,0.61265,0.627766667,0.684066667,0.719533333,0.74165,0.774216667,0.8015,0.8275,0.837833333,0.841,0.8425,0.841433333,0.838466667,0.838833333,0.844616667
BANAMEX,0.62475,0.626133333,0.633391667,0.64065,0.656666667,0.671125,0.685691667,0.697833333,0.703416667,0.710416667,0.718166667,0.722083333,0.725433333,0.72825,0.730475,0.731458333
